record_id,employee_id,event_id,date,due_date,status,completion_pct,score,feedback_rating,assigned_by
HIST_0001,EMP_001,EV_006,2026-02-15,2026-02-15,declined,0,0,0,manager
HIST_0002,EMP_001,EV_006,2026-04-10,2026-04-10,no_show,0,0,0,self
HIST_0003,EMP_001,EV_006,2026-06-20,2026-06-20,dropped,15,0,1,hr
HIST_0004,EMP_001,EV_004,2026-03-01,2026-03-25,completed,100,96,5,self
HIST_0005,EMP_001,EV_007,2026-05-10,2026-05-12,completed,100,92,5,self
HIST_0006,EMP_002,EV_016,2026-02-10,2026-02-11,completed,100,90,5,manager
HIST_0007,EMP_002,EV_001,2026-01-15,2026-01-20,completed,100,100,4,hr
HIST_0008,EMP_003,EV_007,2026-04-12,2026-04-14,completed,100,88,5,self
HIST_0009,EMP_004,EV_006,2026-01-10,2026-01-25,completed,100,77,4,manager
HIST_0010,EMP_004,EV_011,2026-02-10,2026-02-25,in_progress,61,0,0,self
HIST_0011,EMP_004,EV_016,2026-03-10,2026-03-25,dropped,20,0,1,hr
HIST_0012,EMP_005,EV_007,2026-01-10,2026-01-25,in_progress,55,0,0,manager
HIST_0013,EMP_005,EV_012,2026-02-10,2026-02-25,declined,0,0,0,self
HIST_0014,EMP_005,EV_036,2026-03-10,2026-03-25,completed,100,78,5,hr
HIST_0015,EMP_005,EV_004,2026-04-10,2026-04-25,completed,100,97,4,manager
HIST_0016,EMP_006,EV_008,2026-01-10,2026-01-25,declined,0,0,0,manager
HIST_0017,EMP_006,EV_013,2026-02-10,2026-02-25,overdue,50,0,0,self
HIST_0018,EMP_007,EV_010,2026-01-10,2026-01-25,dropped,21,0,1,manager
HIST_0019,EMP_007,EV_014,2026-02-10,2026-02-25,completed,100,85,4,self
HIST_0020,EMP_007,EV_002,2026-03-10,2026-03-25,completed,100,79,5,hr
HIST_0021,EMP_008,EV_011,2026-01-10,2026-01-25,completed,100,79,4,manager
HIST_0022,EMP_008,EV_016,2026-02-10,2026-02-25,completed,100,98,5,self
HIST_0023,EMP_008,EV_003,2026-03-10,2026-03-25,completed,100,92,4,hr
HIST_0024,EMP_008,EV_008,2026-04-10,2026-04-25,in_progress,51,0,0,manager
HIST_0025,EMP_009,EV_012,2026-01-10,2026-01-25,completed,100,92,5,manager
HIST_0026,EMP_009,EV_036,2026-02-10,2026-02-25,completed,100,86,4,self
HIST_0027,EMP_010,EV_013,2026-01-10,2026-01-25,completed,100,80,4,manager
HIST_0028,EMP_010,EV_001,2026-02-10,2026-02-25,completed,100,99,5,self
HIST_0029,EMP_010,EV_006,2026-03-10,2026-03-25,in_progress,58,0,0,hr
HIST_0030,EMP_011,EV_014,2026-01-10,2026-01-25,completed,100,93,5,manager
HIST_0031,EMP_011,EV_002,2026-02-10,2026-02-25,in_progress,52,0,0,self
HIST_0032,EMP_011,EV_007,2026-03-10,2026-03-25,declined,0,0,0,hr
HIST_0033,EMP_011,EV_012,2026-04-10,2026-04-25,completed,100,75,4,manager
